Comment,Designator,Footprint,LCSC Part #
2.2nF,C1,SmartHome:C_0603,C86023
4.7uF,"C2,C23",SmartHome:C_0603,C86016
100nF,"C3,C27,C28",SmartHome:C_0402,C60474
0.1uF,"C4,C5,C16,C18,C20,C21",SmartHome:C_0402,C60474
100pF,"C6,C13",SmartHome:C_0402,C77177
3pF,C7,SmartHome:C_0402,C88891
6.2pF,C8,SmartHome:C_0402,C41744
12pF,"C9,C14",SmartHome:C_0402,C76948
2.7pF,C10,SmartHome:C_0402,C76963
3.6pF,"C11,C12",SmartHome:C_0402,C913745
1uF,C15,SmartHome:C_0402,C29266
22uF,"C17,C19,C26",SmartHome:C_0603,C86295
100nF,C22,SmartHome:C_0603,C1591
10uF,C24,SmartHome:C_0603,C91606
2.2nF 50V,C25,SmartHome:C_0402,C106861
10nF,C29,SmartHome:C_0402,C77019
USBLC6-2SC6,D1,SmartHome:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C7519
RED,D2,SmartHome:LED0603-RD_RED,C965799
CC1310F128RGZR,IC1,SmartHome:CC1310_VQFN-48,C84353
TPD6E004RSER,IC2,SmartHome:TPD6E004RSER,C1973052
TL3301AF160QG,KEY1,SmartHome:KEY-SMD_4P-L6.0-W6.0-P4.50-LS10.0,C273519
8.2nH,L1,SmartHome:L_Polarized_0402,C98003
6.8nH,"L2,L3,L4",SmartHome:L_Polarized_0402,C77110
7.5nH,"L5,L7",SmartHome:L_Polarized_0402,C98001
27nH,L6,SmartHome:L_Polarized_0402,C12669
BLM18HE152SN1D,L8,SmartHome:L0603,C82155
DFE252012PD,L10,SmartHome:L1008,C237482
MLZ2012N6R8LT000,L11,SmartHome:IND-SMD_L2.0-W1.3,C82157
"47,5k",R1,SmartHome:R_0603,C23061
5.1k,"R2,R6",SmartHome:R_0603,C2907044
10k,"R3,R4,R5",SmartHome:R_0603,C844918
3k,R7,SmartHome:R_0603,C2907033
100k,R8,SmartHome:R_0603,C2906980
1k,R9,SmartHome:R_0603,C2907002
36.5k,R10,SmartHome:R_0603,C23029
1M 0.1%,"R11,R12",SmartHome:R_0603,C4250208
47.5k,R13,SmartHome:R_0402,C25896
MCP73123-22SI/MF,U1,SmartHome:DFN-10_L3.0-W3.0-P0.50-BL-EP,C88544
SHT35-DIS-B,U2,SmartHome:DFN-8_L2.5-W2.5-P0.50-TL-EP,C90161
TPS22860DBVR,"U3,U6",SmartHome:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,C132005
TPS63900DSKR,U4,SmartHome:WSON-10_L2.5-W2.5-W0.50-TL-EP,C1518762
MCP3421A0T-E/CH,U5,SmartHome:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,C29454
ECS-240-9-33B-CWN-TR,U7,SmartHome:CRYSTAL-SMD_4P-L3.2-W2.5-BL,C2450735
TYPE-C 16PIN 2MD,USB1,SmartHome:USB-C-SMD_TYPE-C-16PIN-2MD-073,C2765186
FC-135R,X1,SmartHome:OSC-SMD_L3.2-W1.5,C94276
