Designator,Mid X,Mid Y,Layer,Rotation
C1,104.94mm,102.99mm,Top,90.0
C2,117.63mm,102.53mm,Top,0.0
C3,117.41mm,103.71mm,Top,0.0
C4,89.82mm,114.08mm,Top,270.0
C5,81.51mm,110.06mm,Top,180.0
C6,90.135mm,92.165mm,Top,90.0
C7,89.67mm,93.59mm,Top,180.0
C8,90.595mm,96.405mm,Top,0.0
C9,83.67mm,99.5mm,Top,270.0
C10,89.675mm,99.205mm,Top,180.0
C11,89.67mm,100.6mm,Top,270.0
C12,91.08mm,102.01mm,Top,180.0
C13,88.73mm,100.6mm,Top,90.0
C14,83.67mm,101.39mm,Top,90.0
C15,81.51mm,111.17mm,Top,180.0
C16,81.71mm,105.6mm,Top,180.0
C17,91.01mm,114.4mm,Top,270.0
C18,94.04mm,108.76mm,Top,270.0
C19,86.68mm,116.44mm,Top,270.0
C20,93.61mm,107.24mm,Top,0.0
C21,92.8mm,104.28mm,Top,90.0
C22,78.4mm,101.25mm,Top,180.0
C23,115.12mm,105.68mm,Top,90.0
C24,112.43mm,112.77mm,Top,90.0
C25,93.86mm,112.09mm,Top,90.0
C26,108.07mm,112.77mm,Top,90.0
C27,105.66mm,112.79mm,Top,90.0
C28,109.35mm,108.3mm,Top,180.0
C29,111.26mm,102.08mm,Top,180.0
D1,119.13mm,94.3mm,Top,180.0
D2,120.395mm,109.905mm,Top,180.0
IC1,87.625mm,108.315mm,Top,270.0
IC2,98.23mm,120.36mm,Top,270.0
KEY1,100.87mm,96.02mm,Top,0.0
L1,89.7mm,88.88mm,Top,0.0
L2,90.14mm,90.3mm,Top,90.0
L3,90.13mm,95.01mm,Top,90.0
L4,90.14mm,97.8mm,Top,90.0
L5,90.62mm,100.6mm,Top,90.0
L6,90.12mm,102.97mm,Top,0.0
L7,89.22mm,102.01mm,Top,180.0
L8,93.55mm,115.37mm,Top,90.0
L10,110.26mm,116.07mm,Top,180.0
L11,88.37mm,114.79mm,Top,270.0
R1,103.27mm,104.44mm,Top,90.0
R2,125.47mm,106.15mm,Top,0.0
R3,102.29mm,110.39mm,Top,0.0
R4,78.93mm,103.48mm,Top,90.0
R5,80.74mm,102.0mm,Top,270.0
R6,125.31mm,93.79mm,Top,0.0
R7,121.32mm,104.24mm,Top,90.0
R8,120.385mm,108.405mm,Top,0.0
R9,117.985mm,109.085mm,Top,270.0
R10,109.33mm,109.76mm,Top,180.0
R11,112.46mm,103.59mm,Top,180.0
R12,108.92mm,102.86mm,Top,270.0
R13,92.87mm,113.01mm,Top,90.0
U1,118.345mm,105.985mm,Top,270.0
U2,77.8462mm,95.67mm,Top,0.0
U3,104.71mm,115.86mm,Top,270.0
U4,110.26mm,112.25mm,Top,270.0
U5,110.4mm,99.49mm,Top,0.0
U6,112.29mm,106.99mm,Top,90.0
U7,97.115mm,105.29mm,Top,270.0
USB1,125.8475mm,100.0mm,Top,90.0
X1,85.38mm,100.46mm,Top,270.0
